분류,건축구분,대지위치,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),증축연면적(제곱미터),건폐율(퍼센트),용적률(퍼센트),취소구분,허가_신고일,효력상실일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,세대수,호수,가구수,데이터기준일자
건축허가,증축,서울특별시 광진구 자양동 639-5,131.4,78.01,278.97,278.97,59.37,198.3,미취소,2023-01-11,,,2023-01-13,4,,제2종근린생활시설,사무소,제2종일반주거지역,대공방어협조구역,중점경관관리구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 248-88,166.3,98.85,291.79,,59.44,175.46,미취소,2023-01-10,,,,4,0,단독주택,(다가구주택) 및 근린생활시설,도시지역,,가축사육제한구역,,,5,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 149-12,550.31,163.45,548.9,,29.7014,70.0423,미취소,2023-01-10,,,,3,1,제2종근린생활시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,0,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 184-7,331,191.57,646.75,,57.8761,138.8459,미취소,2023-01-06,,,2023-01-27,3,1,제2종근린생활시설,사무소,가로구역별최고높이제한지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 8-3,827.6,409.14,3253.93,,49.44,248.5,미취소,2023-01-06,,,,6,2,제1종근린생활시설,,제3종일반주거지역,,,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 8-3,827.6,409.14,3253.93,,49.44,248.5,미취소,2023-01-06,,,,6,2,제1종근린생활시설,,제3종일반주거지역,,,,,,2023-01-28
건축허가,증축,서울특별시 광진구 군자동 466-17,1054.2,515.43,2776.96,71,48.893,217.5963,미취소,2023-01-04,,,,5,1,제2종근린생활시설,,도시지역,,,,,,2023-01-28
건축신고,증축,서울특별시 광진구 군자동 466-17,1054.2,515.43,2776.96,71,48.893,217.5963,미취소,2023-01-04,,,,5,1,제2종근린생활시설,,도시지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 257-103,166.9,81.04,448.86,,48.556,194.2241,미취소,2023-01-03,,,,4,1,제2종근린생활시설,"사무실, 소매점",제2종일반주거지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 6-16,119,59.4,185.4,,49.97,99.83,미취소,2023-01-02,,,,2,1,제2종근린생활시설,"근린생활시설, 창고시설",도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축신고,대수선,서울특별시 광진구 자양동 6-16,119,59.4,185.4,,49.97,99.83,미취소,2023-01-02,,,,2,1,제2종근린생활시설,"근린생활시설, 창고시설",도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 93-1 외2필지,317.46,166.28,1204.88,,52.38,313.94,미취소,2022-12-30,,,,12,1,업무시설,외2종,준주거지역,대공방어협조구역,지구단위계획구역,8,13,,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 111-41 외1필지,193.94,122.5,1428.02,,63.16,687.16,미취소,2022-12-30,,,,12,1,업무시설,외2종,준주거지역,대공방어협조구역,지구단위계획구역,12,20,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 10-34 외1필지,754,420.38,1217.29,,55.75,161.44,미취소,2022-12-27,,,,5,0,공동주택,단지형 다세대주택,도시지역,대공방어협조구역,학교환경위생정화구역,17,1,,2023-01-28
건축허가,증축,서울특별시 광진구 중곡동 235-2,801.7,264.96,379.8,65,33.05,43.94,미취소,2022-12-27,,2022-12-29,,2,1,위험물저장및처리시설,주유소,제2종일반주거지역,,,,,,2023-01-28
건축신고,증축,서울특별시 광진구 중곡동 235-2,801.7,264.96,379.8,65,33.05,43.94,미취소,2022-12-27,,2022-12-29,,2,1,위험물저장및처리시설,주유소,제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 464-5,324.6,146.54,944.64,,45.14,259.11,미취소,2022-12-22,,,,7,1,공동주택,"도시형생활주택,업무시설(오피스텔)",제3종일반주거지역,,,16,7,,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 216-7 외1필지,559.8,269.11,1415.02,,48.07,192.29,미취소,2022-12-21,,,,4,1,제2종근린생활시설,사무소,도시지역,대공방어협조구역,지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 8-3,827.6,409.14,3253.93,,49.44,248.5,미취소,2022-12-21,,,,6,2,교육연구시설,"근린생활시설, 업무시설",제3종일반주거지역,,,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 8-3,827.6,409.14,3253.93,,49.44,248.5,미취소,2022-12-21,,,,6,2,교육연구시설,"근린생활시설, 업무시설",제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 774-17,228.8,113.82,494.55,,49.75,149.22,미취소,2022-12-20,,,,3,1,제1종근린생활시설,근린생활시설,제3종일반주거지역,,가축사육제한구역,,,,2023-01-28
건축허가,증축,서울특별시 광진구 군자동 98,117804.2,34114.37,358251.59,65009.03,28.9585,174.8871,미취소,2022-12-15,,,,6,4,교육연구시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 218-30,100.2,50,249.7,,49.9002,184.3214,미취소,2022-12-15,,,,5,1,제2종근린생활시설,사무소,도시지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 680-4,820.1,431.7,4148.73,,52.64,289.19,미취소,2022-12-14,,,,6,3,제1종근린생활시설,근린생활시설및업무시설,준주거지역,,지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 680-4,820.1,431.7,4148.73,,52.64,289.19,미취소,2022-12-14,,,,6,3,제1종근린생활시설,근린생활시설및업무시설,준주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,증축,서울특별시 광진구 구의동 164-2 외6필지,174228,20856.27,20887.76,108.25,11.97,11.7,미취소,2022-12-09,,,,2,,제1종근린생활시설,정수장,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 212-3,2041.9,1204.72,11284.43,,59,270.34,미취소,2022-12-07,,,,6,4,업무시설,"교육연구시설, 업무시설, 근린생활시설",도시지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 229-20,109.8,54.7,171.34,,49.82,99,미취소,2022-12-06,,,,2,1,제2종근린생활시설,,도시지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 광장동 245-10,198,112.44,494.22,,56.79,192.15,미취소,2022-12-01,,,,4,1,제2종근린생활시설,제2종근린생활시설(사무소)및다세대주택,제3종일반주거지역,,지구단위계획구역,2,3,,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 30-80,18190.8,6130.97,52252.83,,33.7037,200.2809,미취소,2022-12-01,,,2022-12-12,20,2,업무시설,업무시설,준주거지역,,지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 중곡동 30-80,18190.8,6130.97,52252.83,,33.7037,200.2809,미취소,2022-12-01,,,2022-12-12,20,2,업무시설,업무시설,준주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,증축,서울특별시 광진구 광장동 313-3,10921,3623.42,13546.18,1713.31,33.18,73.56,미취소,2022-11-30,,,,4,1,수련시설,제1종 근린생활시설,도시지역,중심지미관지구,,,,,2023-01-28
건축신고,증축,서울특별시 광진구 광장동 313-3,10921,3623.42,13546.18,1713.31,33.18,73.56,미취소,2022-11-30,,,,4,1,수련시설,제1종 근린생활시설,도시지역,중심지미관지구,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 34-10,155.4,88.6,299.85,,57.01,145.48,미취소,2022-11-29,,,,3,1,단독주택,제2종근린생활시설(사무소),제1종일반주거지역,,,,1,4,2023-01-28
건축허가,대수선,서울특별시 광진구 구의동 257-103,166.9,81.04,448.86,,48.556,194.2241,취소,2022-11-25,,2022-12-15,,4,1,제2종근린생활시설,주택,제2종일반주거지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 중곡동 236-15,368.3,181.44,946.08,,49.26,182.98,미취소,2022-11-25,,,,4,1,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 중곡동 236-15,368.3,181.44,946.08,,49.26,182.98,미취소,2022-11-25,,,,4,1,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 중곡동 236-15,368.3,181.44,946.08,,49.26,182.98,미취소,2022-11-25,,,,4,1,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 603-7 외1필지,214.4,118.56,418.32,,55.3,195.11,미취소,2022-11-22,,,,6,0,공동주택,도시형생활주택,제2종일반주거지역,대공방어협조구역,중점경관관리구역,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 685-29,102,58.5,119.65,,57.35,117.3,미취소,2022-11-21,,,,3,0,단독주택,다가구,도시지역,대공방어협조구역,중점경관관리구역,,1,2,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 836-17,74,46.61,87.27,,62.99,117.93,미취소,2022-11-18,,,,2,,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 231-64 외2필지,610.89,319.3,1094.13,,52.27,179.1,미취소,2022-11-18,,2023-01-11,,6,0,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,17,1,,2023-01-28
건축허가,증축,서울특별시 광진구 화양동 4-12,17171,6263.5,86985.81,1299.13,36.4772,222.9289,미취소,2022-11-17,,2023-01-10,,13,4,의료시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 553-262,155,91.24,250.91,,58.8645,103.0129,미취소,2022-11-17,,,,2,1,제2종근린생활시설,사무소,준주거지역,,제1종지구단위계획구역,,,,2023-01-28
건축허가,증축,서울특별시 광진구 중곡동 84-5,170.2,101.79,272.33,2.44,59.81,148.21,미취소,2022-11-17,,2022-12-02,,4,,단독주택,다가구주택,제1종일반주거지역,,,,,3,2023-01-28
건축허가,증축,서울특별시 광진구 화양동 4-20,5621.3,3067.31,31203.63,15.5,54.5658,299.7919,미취소,2022-11-17,,2023-01-10,,12,5,업무시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축신고,증축,서울특별시 광진구 중곡동 84-5,170.2,101.79,272.33,2.44,59.81,148.21,미취소,2022-11-17,,2022-12-02,,4,,단독주택,다가구주택,제1종일반주거지역,,,,,3,2023-01-28
건축신고,증축,서울특별시 광진구 화양동 4-20,5621.3,3067.31,31203.63,15.5,54.5658,299.7919,미취소,2022-11-17,,2023-01-10,,12,5,업무시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 139-40,168.6,95.87,199.01,,56.86,110.39,미취소,2022-11-11,,,,2,1,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 중곡동 59-5,159.7,88.6,373.96,,55.48,215.28,미취소,2022-11-09,,,2022-11-21,5,,제2종근린생활시설,다가구주택(5가구),제2종일반주거지역,,중점경관관리구역,,,5,2023-01-28
건축허가,대수선,서울특별시 광진구 능동 236-1,716.7,356.46,1595.55,,49.74,192.16,미취소,2022-11-08,,2022-12-13,,4,1,제1종근린생활시설,,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 217-15,277.32,138.54,921.22,,49.9567,243.4805,미취소,2022-11-07,,,,7,1,제2종근린생활시설,"일반음식점, 휴게음식점, 사무소",제3종일반주거지역,일반미관지구,제1종지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 86-1,218,119.39,310.67,,54.77,142.51,미취소,2022-11-04,,,,3,,제2종근린생활시설,,도시지역,,상대보호구역,,1,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 217-15,277.32,138.54,921.22,,49.9567,243.4805,미취소,2022-11-03,,,,7,1,제2종근린생활시설,"일반음식점, 휴게음식점, 사무소",제3종일반주거지역,일반미관지구,제1종지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 211-21,361.3,216.62,709.05,,59.96,196.25,미취소,2022-11-02,,,,5,0,공동주택,다세대주택,도시지역,대공방어협조구역,,10,1,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 227-7 외6필지,60235.4,8233.636,54117.39,,13.6691,30.9963,미취소,2022-10-31,,,,3,3,판매시설,,준주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 227-7 외6필지,60235.4,8233.636,54117.39,,13.6691,30.9963,미취소,2022-10-31,,,,3,3,판매시설,,준주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 612-6,363.6,214.61,1487.29,,59.0237,349.1199,미취소,2022-10-31,,,,6,1,제2종근린생활시설,,도시지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 54-3,606.3,295.79,2148.95,,48.79,284.23,미취소,2022-10-31,,,,6,1,교육연구시설,"교육연구시설,근린생활시설",도시지역,,지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 중곡동 612-6,363.6,214.61,1487.29,,59.0237,349.1199,미취소,2022-10-31,,,,6,1,제2종근린생활시설,,도시지역,,,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 구의동 54-3,606.3,295.79,2148.95,,48.79,284.23,미취소,2022-10-31,,,,6,1,교육연구시설,"교육연구시설,근린생활시설",도시지역,,지구단위계획구역,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 군자동 464-21,296.2,148.05,736.9,,49.9831,191.9649,미취소,2022-10-28,,,2022-12-20,4,1,제1종근린생활시설,제2종근린생활시설,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 218-30,100.2,48.46,147.31,,48.3633,96.7265,미취소,2022-10-25,,,,2,1,제2종근린생활시설,근린생활시설,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 218-30,100.2,48.46,147.31,,48.3633,96.7265,미취소,2022-10-25,,,,2,1,제2종근린생활시설,근린생활시설,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 54-18,188.1,111.26,271.14,,59.15,95.92,미취소,2022-10-24,,,,2,,제2종근린생활시설,사무소,도시지역,,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 2-21,126.33,72.03,468.51,,57.01,330.27,미취소,2022-10-24,,,,7,1,제2종근린생활시설,사무소,도시지역,,지구단위계획구역,,12,,2023-01-28
건축허가,신축,서울특별시 광진구 광장동 248-25,202,98.28,468.205,,48.65,231.78,미취소,2022-10-24,,,,5,0,제2종근린생활시설,사무소,도시지역,대공방어협조구역,중점경관관리구역,,5,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 605-7 외1필지,330.8,198.05,659.44,,59.87,190.98,미취소,2022-10-24,,,,6,1,공동주택,도시형생활주택-단지형다세대(18세대),제2종일반주거지역,,,18,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 광장동 393-26,141,50.81,50.81,,36.04,36.04,미취소,2022-10-21,,,,1,,단독주택,제2종근린시설(일반음식점),제1종일반주거지역,자연경관지구,,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 240-29,174.2,104.36,347.46,,59.91,199.46,미취소,2022-10-20,,,,5,,공동주택,다세대주택,도시지역,,가축사육제한구역,8,,,2023-01-28
건축허가,증축,서울특별시 광진구 자양동 47-35,132,75.9,198.54,198.54,57.5,105.08,미취소,2022-10-19,,,2022-10-31,2,1,단독주택,"주택, 제1종근린생활시설",제2종일반주거지역,,,,1,1,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 235-3 외2필지,815.12,403.79,2991.12,,49.54,249.96,미취소,2022-10-19,,,,7,2,제2종근린생활시설,자동차영업소,제3종일반주거지역,대공방어협조구역,중점경관관리구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 584-11,339,168.78,1053.42,,49.78761,243.79,미취소,2022-10-17,,,,5,1,제2종근린생활시설,사무소,제2종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 584-11,339,168.78,1053.42,,49.78761,243.79,미취소,2022-10-17,,,,5,1,제2종근린생활시설,사무소,제2종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 604-7,268.7,160.94,571.69,,59.9,199.88,미취소,2022-10-17,,,,6,1,공동주택,도시형생활주택,제2종일반주거지역,,,8,0,0,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 604-7,268.7,160.94,571.69,,59.9,199.88,미취소,2022-10-17,,,,6,1,공동주택,도시형생활주택,제2종일반주거지역,,,8,0,0,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 13-57,120.3,59.92,324.87,,49.8088,195.744,미취소,2022-10-14,,,,4,1,제2종근린생활시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 13-57,120.3,59.92,324.87,,49.8088,195.744,취소,2022-10-14,,,,4,1,제2종근린생활시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 169-53 외1필지,322.21,191.64,641.06,,59.48,198.96,미취소,2022-10-14,,2022-11-21,,6,0,공동주택,도시형 생활주택(단지형다세대 주택 12세대),도시지역,,,12,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 357-3,215,128.65,669.17,,59.84,245,미취소,2022-10-14,,,,5,1,단독주택,,제3종일반주거지역,,지구단위계획구역,,2,4,2023-01-28
건축신고,용도변경,서울특별시 광진구 군자동 357-3,215,128.65,669.17,,59.84,245,미취소,2022-10-14,,,,5,1,단독주택,,제3종일반주거지역,,지구단위계획구역,,2,4,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 478-1,271.7,135.66,542.64,,49.93,149.79,미취소,2022-10-13,,,,3,1,제2종근린생활시설,사무소,일반상업지역,,지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 478-1,271.7,135.66,542.64,,49.93,149.79,미취소,2022-10-13,,,,3,1,제2종근린생활시설,사무소,일반상업지역,,지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 군자동 478-1,271.7,135.66,542.64,,49.93,149.79,미취소,2022-10-13,,,,3,1,제2종근린생활시설,사무소,일반상업지역,,지구단위계획구역,,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 군자동 478-1,271.7,135.66,542.64,,49.93,149.79,미취소,2022-10-13,,,,3,1,제2종근린생활시설,사무소,일반상업지역,,지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 478-2,244.6,121.33,451.05,,49.6,147.78,미취소,2022-10-12,,,,3,1,제2종근린생활시설,"노래연습장, 일반음식점,종교집회장(교회)",도시지역,,가축사육제한구역,,,,2023-01-28
건축허가,발코니구조변경,서울특별시 광진구 자양동 855,9332,3310.11,57938.5,,35.4705,389.9219,미취소,2022-10-12,,2022-10-17,,25,3,공동주택,,준주거지역,일반미관지구,,260,49,,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 855,9332,3310.11,57938.5,,35.4705,389.9219,미취소,2022-10-12,,2022-10-17,,25,3,공동주택,,준주거지역,일반미관지구,,260,49,,2023-01-28
건축허가,증축,서울특별시 광진구 구의동 237-11,149.1,89.24,297.62,297.62,59.85,199.61,미취소,2022-10-11,,,2022-10-17,5,,제2종근린생활시설,다가구주택,제2종일반주거지역,,,,,9,2023-01-28
건축신고,증축,서울특별시 광진구 구의동 237-11,149.1,89.24,297.62,297.62,59.85,199.61,미취소,2022-10-11,,,2022-10-17,5,,제2종근린생활시설,다가구주택,제2종일반주거지역,,,,,9,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 139-40,168.6,95.87,199.01,,56.86,110.39,미취소,2022-10-07,,,,2,1,제2종근린생활시설,,제2종일반주거지역,,,,,,2023-01-28
건축허가,발코니구조변경,서울특별시 광진구 자양동 779-8,1668,999.27,21171,,59.9083,796.3921,미취소,2022-10-07,,2022-10-17,,20,6,공동주택,아파트외3,제3종일반주거지역,중심지미관지구,,102,24,,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 779-8,1668,999.27,21171,,59.9083,796.3921,미취소,2022-10-07,,2022-10-17,,20,6,공동주택,아파트외3,제3종일반주거지역,중심지미관지구,,102,24,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 201-8,1025.9,512.36,4247.18,,49.94,249.64,미취소,2022-10-06,,,,6,2,제2종근린생활시설,"제1종근린생활시설,운동시설,교육및연구시설",가로구역별최고높이제한지역,대공방어협조구역,학교환경위생정화구역,0,21,0,2023-01-28
건축신고,용도변경,서울특별시 광진구 구의동 201-8,1025.9,512.36,4247.18,,49.94,249.64,미취소,2022-10-06,,,,6,2,제2종근린생활시설,"제1종근린생활시설,운동시설,교육및연구시설",가로구역별최고높이제한지역,대공방어협조구역,학교환경위생정화구역,0,21,0,2023-01-28
건축허가,신축,서울특별시 광진구 능동 249-38,236.7,142,354.96,,59.99,149.96,미취소,2022-10-05,,2022-11-14,,4,0,단독주택,제1종근린생활시설 및 다가구주택,도시지역,대공방어협조구역,,,1,8,2023-01-28
건축허가,발코니구조변경,서울특별시 광진구 자양동 779-11,1314.1,774.48,15570.12,,58.9362,761.3332,미취소,2022-10-05,,2022-10-06,,18,6,공동주택,아파트,도시지역,대공방어협조구역,지구단위계획구역,98,24,0,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 779-11,1314.1,774.48,15570.12,,58.9362,761.3332,미취소,2022-10-05,,2022-10-06,,18,6,공동주택,아파트,도시지역,대공방어협조구역,지구단위계획구역,98,24,0,2023-01-28
건축허가,대수선,서울특별시 광진구 광장동 247-17,206,121.86,422.34,,59.16,205.02,미취소,2022-10-04,,2022-11-03,2023-01-05,5,,제2종근린생활시설,제2종근린생활시설,제3종일반주거지역,대공방어협조구역,중점경관관리구역,,5,,2023-01-28
건축허가,증축,서울특별시 광진구 능동 238-7,121.6,70.11,241.07,43.48,57.6563,137.1135,미취소,2022-09-30,,,,3,1,단독주택,단독주택,제1종일반주거지역,대공방어협조구역,,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 253-16,112.4,67.16,224.79,,59.75,199.99,미취소,2022-09-30,,,,5,,단독주택,근생및다세대주택,제2종일반주거지역,,,4,,,2023-01-28
건축허가,대수선,서울특별시 광진구 군자동 83-1,152,63.14,194.12,,41.5395,82.3947,미취소,2022-09-29,,2022-12-15,,2,1,제1종근린생활시설,,제1종일반주거지역,대공방어협조구역,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 642-3,229,137.14,460.97,,59.89,189.07,미취소,2022-09-29,,2022-11-24,,6,1,공동주택,도시형생활주택(단지형다세대),도시지역,대공방어협조구역,학교환경위생정화구역,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 15-76,170.6,102.33,340.41,,59.98,199.54,미취소,2022-09-27,,2022-10-26,,5,0,단독주택,다가구주택,도시지역,,,,,6,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 681-4 외1필지,180.2,91.24,271.08,,50.63,99.8,미취소,2022-09-22,,2022-09-26,2022-11-10,2,1,제2종근린생활시설,사무소,제3종일반주거지역,,,,,,2023-01-28
건축신고,대수선,서울특별시 광진구 자양동 681-4 외1필지,180.2,91.24,271.08,,50.63,99.8,미취소,2022-09-22,,2022-09-26,2022-11-10,2,1,제2종근린생활시설,사무소,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 광장동 259-5,251,125.38,303.11,,49.9522,97.7131,미취소,2022-09-21,,,,2,1,제2종근린생활시설,단독주택,건축용도지역기타,대공방어협조구역,중점경관관리구역,0,0,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 241-8,201.7,119.73,257.45,,59.3604,115.5131,미취소,2022-09-19,,,,2,1,단독주택,"주택, 제1종근린생활시설(소매점)",도시지역,대공방어협조구역,학교환경위생정화구역,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 57-17,263.25,157.2,683.36,,59.72,199.87,미취소,2022-09-13,,2022-12-19,,4,1,공동주택,도시형생활주택,도시지역,대공방어협조구역,중점경관관리구역,13,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 645,334,166.01,858.26,,49.7,237.16,미취소,2022-09-13,,,,5,1,공동주택,"공동주택,제2종근린생활시설",제3종일반주거지역,,,6,4,,2023-01-28
