건축구분,건물명,대지위치,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),증축연면적(제곱미터),건폐율(퍼센트),용적률(퍼센트),구조,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,세대수,호수,가구수
신축,대원캐슬5차 A동,서울특별시 광진구 자양동 624-13 외1필지,295,167.86,589.85,,56.9,199.95,철근콘크리트구조,2022-01-06,2022-02-25,2022-11-18,6,0,공동주택,"근린생활시설, 도시형생활주택",제2종일반주거지역,대공방어협조구역,,10,,
신축,대원캐슬5차 B동,서울특별시 광진구 자양동 624-12,138.8,80.76,277.2,,58.18,199.71,철근콘크리트구조,2022-01-06,2022-02-25,2022-11-18,5,0,공동주택,"근린생활시설, 다세대주택",제2종일반주거지역,대공방어협조구역,,4,1,
신축,중곡동211-19외1필지다세대주택신축공사,서울특별시 광진구 중곡동 211-19 외1필지,346.4,185.49,645.62,,53.5479,186.3799,철근콘크리트구조,2020-12-08,2021-09-06,2022-11-18,6,0,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,,,18,,
대수선,광진제일새마을금고,서울특별시 광진구 자양동 773-8,194.4,89.26,397.37,,45.92,137.75,철근콘크리트구조,2022-08-05,2022-09-01,2022-11-17,3,1,제2종근린생활시설,사무소,제3종일반주거지역,,,,,
신축,한양에버빌,서울특별시 광진구 구의동 69-11 외2필지,353.77,176.85,486.34,,49.99,137.47,철근콘크리트구조,2022-02-15,2022-04-11,2022-11-16,4,0,공동주택,도시형생활주택(단지형다세대),도시지역,대공방어협조구역,,8,,
신축,라인빌14차,서울특별시 광진구 중곡동 193-64,331.5,198.52,622.42,,59.89,187.76,철근콘크리트구조,2022-01-13,2022-04-27,2022-11-16,5,0,공동주택,도시형 생활주택(단지형다세대10세대),도시지역,,지구단위계획구역,10,,
신축,"다시,봄",서울특별시 광진구 군자동 353-2,167,83.46,376.99,,49.98,225.74,철근콘크리트구조,2022-07-12,2022-07-26,2022-11-14,5,0,단독주택,다가구주택 및 근린생활시설(사무소),도시지역,,학교환경위생정화구역,,2,4
신축,더스위트자양Ⅱ,서울특별시 광진구 자양동 833-6 외1필지,222,110.97,528.81,,49.99,218.77,철근콘크리트구조,2021-12-31,2022-04-06,2022-11-04,6,1,공동주택,근린생활시설 및 단지형다세대주택,제3종일반주거지역,,,14,1,
신축,THE VINE Guii,서울특별시 광진구 구의동 618-1,204.15,108.86,306.15,,53.32,149.96,철근콘크리트구조,2022-01-17,2022-03-24,2022-11-03,5,0,공동주택,"단지형다세대주택,제1종근린생활시설(소매점)",제1종일반주거지역,고도지구,,9,1,
신축,누리보듬,서울특별시 광진구 중곡동 693-11,230.1,137.47,445.44,,59.74,193.59,철근콘크리트구조,2022-01-04,2022-02-07,2022-11-02,5,0,단독주택,다가구주택,제2종일반주거지역,,,,3,7
증축,자양동 47-35  ,서울특별시 광진구 자양동 47-35,132,75.9,198.54,198.54,57.5,105.08,벽돌구조,2022-10-19,,2022-10-31,2,1,단독주택,"주택, 제1종근린생활시설",제2종일반주거지역,,,,1,1
신축,구의동 239-75 단독주택 (장길현),서울특별시 광진구 구의동 239-75,120.88,72.07,204.53,,59.62,169.2,철근콘크리트구조,2022-04-26,2022-05-13,2022-10-28,5,0,단독주택,다가구주택 및 제2종근린생활시설,도시지역,,,,1,5
신축,Das Haus 708,서울특별시 광진구 자양동 683-2,276.6,164.88,551.78,,59.61,199.49,철근콘크리트구조,2021-09-24,2022-03-03,2022-10-26,5,0,단독주택,"다가구주택, 제2종근린생활시설",제2종일반주거지역,대공방어협조구역,중점경관관리구역,,2,6
신축,중곡동 29-50 공동주택,서울특별시 광진구 중곡동 29-50,134.2,78.78,265.04,,58.7,197.5,철근콘크리트구조,2021-11-26,2022-04-05,2022-10-25,5,0,공동주택,,도시지역,대공방어협조구역,상대보호구역,6,,
신축,자양리버탑,서울특별시 광진구 자양동 603-5,249.8,149.76,494.7,,59.95,198.04,철근콘크리트구조,2021-06-08,2022-03-07,2022-10-24,5,0,공동주택,다세대주택 및 근린생활시설 ,제2종일반주거지역,,,12,2,
신축,클래시하우스,서울특별시 광진구 자양동 682-3,170.9,101.7,340.52,,59.51,199.25,철근콘크리트구조,2022-01-27,2022-04-19,2022-10-21,5,0,공동주택,"다세대주택, 제1종근린생활시설(소매점)",도시지역,대공방어협조구역,중점경관관리구역,7,1,
신축, 에덴빌31차,서울특별시 광진구 중곡동 53-24,170.2,101.86,423.22,,59.85,199.73,철근콘크리트구조,2022-01-03,2022-03-24,2022-10-20,5,1,단독주택,근린생활시설및다가구주택,제2종일반주거지역,,,,3,5
신축,자양리버시티,서울특별시 광진구 자양동 612-10 외1필지,214.32,120.81,364.66,,56.37,170.1474,철근콘크리트구조,2022-01-07,2022-02-25,2022-10-18,5,0,공동주택,다세대주택,도시지역,,,10,,
신축,자양동 775-11 단독주택 (강희재),서울특별시 광진구 자양동 775-11,209.4,104.4,309.56,,49.86,147.83,철근콘크리트구조,2021-11-22,2022-03-30,2022-10-14,4,0,단독주택,제1종근린생활시설(소매점)및다가구주택(5가구),제3종일반주거지역,,,,1,5
신축,중곡동 641-4,서울특별시 광진구 중곡동 641-4,148.51,87.21,296.63,,58.72,199.74,철근콘크리트구조,2022-02-25,2022-03-23,2022-10-12,5,0,단독주택,다가구주택 및 근린생활시설,도시지역,,,,3,5
신축,구의동 78-34 단독주택 (나승식),서울특별시 광진구 구의동 78-34,156,77.7,195.97,,49.81,125.62,철근콘크리트구조,2021-10-19,2021-12-21,2022-10-11,4,0,단독주택,,제3종일반주거지역,,가축사육제한구역,,,1
신축,광진월드메르디앙1차,서울특별시 광진구 광장동 106,452.8,229.11,2094.58,,50.6,398.2,철근콘크리트구조,2019-11-26,2021-06-09,2022-10-11,12,2,공동주택,"도시형생활주택(단지형다세대주택),업무시설(오피스텔)",가로구역별최고높이제한지역,,중점경관관리구역,10,13,
신축,자양아트빌,서울특별시 광진구 자양동 649-10,148.9,89.17,232.83,,59.89,156.37,철근콘크리트구조,2022-02-16,2022-04-27,2022-10-07,4,0,단독주택,다가구주택및 제1종근린생활시설,제2종일반주거지역,,,,1,4
신축,건대입구역자이엘라,서울특별시 광진구 자양동 2-2 외8필지,2288.5,1372.5978,28515.3529,,59.9781,787.8818,철골철근콘크리트합성구조,2018-04-18,2019-09-26,2022-10-07,20,6,업무시설,"업무시설(오피스텔),근린생활시설,문화및집회시설,공공업무시설",도시지역,일반미관지구,학교환경위생정화구역,,366,
신축,라비앙,서울특별시 광진구 능동 240-9,254.9,152.88,382,,59.98,149.86,철근콘크리트구조,2019-03-11,2022-03-11,2022-10-06,5,0,공동주택,도시형생활주택(단지형다세대),도시지역,고도지구,,6,,
대수선,,서울특별시 광진구 중곡동 636-1,454.5,223.8,947.43,,49.24,147.72,철근콘크리트구조,2022-05-27,2022-06-13,2022-10-05,3,1,제1종근린생활시설,,가로구역별최고높이제한지역,대공방어협조구역,,,,
신축,골드 빌,서울특별시 광진구 구의동 242-30,151.7,90.65,261.04,,59.76,172.08,철근콘크리트구조,2021-11-03,2022-04-25,2022-10-04,4,0,단독주택,"다가구주택,제2종근린생활시설(사무소)",제2종일반주거지역,,,,,6
대수선,자양동 17-1 판매시설 (코오롱인더스트리(주)),서울특별시 광진구 자양동 17-1 외1필지,2071.1,863.2,2319.41,,41.68,108.39,일반철골구조,2022-07-12,2022-09-01,2022-09-30,4,1,판매시설,판매시설 및 제2종근린생활시설(일반음식점),제3종일반주거지역,대공방어협조구역,학교환경위생정화구역,,,
신축,더 하임,서울특별시 광진구 중곡동 88-20 외2필지,258.1,154.84,499.99,,59.99,193.72,철근콘크리트구조,2022-02-07,2022-03-03,2022-09-30,5,0,공동주택,도시형생활주택(원룸형),도시지역,대공방어협조구역,중점경관관리구역,12,,
신축,아하브빌리지,서울특별시 광진구 자양동 684-6 외1필지,370.6,214.98,624.97,,58.01,168.64,철근콘크리트구조,2022-02-07,2022-03-22,2022-09-30,5,0,공동주택,"다세대주택, 근린생활시설",제2종일반주거지역,,,12,1,
신축,구의동 72-30 제2종근린생활시설 (전원씨앤비주식회사 사옥),서울특별시 광진구 구의동 72-30,180.8,104.79,467.57,,57.96,199.79,철근콘크리트구조,2021-12-01,2022-02-11,2022-09-29,4,1,제2종근린생활시설,사무소,제2종일반주거지역,,,,5,
신축,대명캐슬2차,서울특별시 광진구 구의동 231-60 외1필지,278.78,167.08,497.88,,59.93,178.59,철근콘크리트구조,2021-12-08,2022-02-28,2022-09-28,5,0,공동주택,다세대주택,제2종일반주거지역,대공방어협조구역,상대보호구역,8,,
가설건축물축조허가,,서울특별시 광진구 능동 18 외24필지,536088.5,31.11,31.11,,0.01,0.01,조립식판넬조,2022-04-29,2022-05-24,2022-09-16,1,0,제1종근린생활시설,휴게음식점,도시지역,고도지구,상대보호구역,,,
신축,에덴빌30차/센트럴밸리,서울특별시 광진구 중곡동 122-15 외2필지,716.4,418.18,1425.63,,58.37,199,철근콘크리트구조,2021-11-26,2022-02-17,2022-09-16,7,0,공동주택,단지형다세대 및 제2종근린생활시설,제2종일반주거지역,대공방어협조구역,학교환경위생정화구역,22,,
신축,자양동 227-187 단독주택 (조래효),서울특별시 광진구 자양동 227-187 외1필지,195.98,117.14,391.22,,59.77,199.62,철근콘크리트구조,2021-07-27,2021-09-29,2022-09-16,5,0,단독주택,다가구주택,도시지역,,,,3,12
신축,우림빌리지,서울특별시 광진구 자양동 223-13,188.1,93.73,270.62,,49.83,143.87,철근콘크리트구조,2021-06-30,2022-03-17,2022-09-08,4,0,단독주택,다가구주택,가로구역별최고높이제한지역,대공방어협조구역,학교환경위생정화구역,,,5
신축,대명캐슬A동,서울특별시 광진구 구의동 231-29 외1필지,173.69,103.34,347.15,,59.5,199.87,철근콘크리트구조,2021-10-05,2021-11-09,2022-09-07,5,0,단독주택,다가구주택/제2종근린생활시설(사무소),도시지역,대공방어협조구역,상대보호구역,,,6
신축,화양동 근생주택,서울특별시 광진구 화양동 29-26,172,102.61,593.39,,59.66,319.97,철근콘크리트구조,2018-10-30,2021-09-07,2022-09-07,7,1,단독주택,"단독주택(다중생활시설, 제2종근린생활시설)",도시지역,대공방어협조구역,학교환경위생정화구역,,6,1
신축,리마크빌 군자,서울특별시 광진구 중곡동 637-5,1623.4,961.92,14965.17,,59.25,679.985,철근콘크리트구조,2020-01-06,2020-07-30,2022-08-30,20,3,공동주택,"공동주택(도시형생활주택),근린생활시설",일반상업지역,,지구단위계획구역,299,10,
신축,양지 쉐르빌,서울특별시 광진구 중곡동 98-3,465.6,278,930.32,,59.71,199.81,철근콘크리트구조,2021-09-28,2021-10-12,2022-08-24,6,0,공동주택,도시형생활주택-단지형 연립주택,제2종일반주거지역,,중점경관관리구역,15,,
대수선,구의동 69-33 제2종근린생활시설 (이태성),서울특별시 광진구 구의동 69-33,507.9,145.92,334.08,,28.73,61.81,철근콘크리트구조,2022-06-28,2022-08-03,2022-08-23,3,1,제2종근린생활시설,,제3종일반주거지역,,,,3,
신축,진성파크뷰,서울특별시 광진구 구의동 633-4,489,223.99,1594.79,,45.81,299.36,철근콘크리트구조,2021-06-11,2021-09-16,2022-08-22,11,1,업무시설,오피스텔/공동주택(단지형다세대주택),제3종일반주거지역,,,20,20,
신축,,서울특별시 광진구 능동 238-5 외1필지,260.2,154.95,388.73,,59.55,149.4,철근콘크리트구조,2021-12-30,2022-02-25,2022-08-17,4,0,단독주택,노유자시설 및 다가구주택,도시지역,대공방어협조구역,,,,9
신축,대원캐슬3차,서울특별시 광진구 자양동 611-2,274.3,161.37,547.1,,58.83,199.45,철근콘크리트구조,2021-09-14,2021-11-10,2022-08-17,6,0,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,대공방어협조구역,학교환경위생정화구역,10,,
신축,지형이네 작은도시,서울특별시 광진구 광장동 358-18 외1필지,93.58,37.13,111.39,,39.68,119.03,철근콘크리트구조,2022-03-07,2022-03-25,2022-08-12,3,0,단독주택,,제1종일반주거지역,자연경관지구,,,1,1
신축,풍경채,서울특별시 광진구 중곡동 290-3,334.9,193.78,658.61,,57.86,196.66,철근콘크리트구조,2022-01-24,2022-02-14,2022-08-12,6,0,공동주택,도시형생활주택 단지형다세대,제2종일반주거지역,조망가로특화경관지구,,10,,
신축,아스하임,서울특별시 광진구 중곡동 234-51,180.5,102.7,440.29,,56.9,197.7,철근콘크리트구조,2021-07-23,2021-10-22,2022-08-12,6,1,공동주택,도시형생활주택 및 근린생활시설,제2종일반주거지역,,,11,,
신축,중곡동 134-11 공동주택 (주식회사레오인더스트리),서울특별시 광진구 중곡동 134-11,231.4,130.2,508.77,,56.27,198.9,철근콘크리트구조,2021-07-22,2021-11-26,2022-08-12,6,1,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,,,10,,
신축,LUCA193,서울특별시 광진구 자양동 193-28,137,71.22,270.06,,51.99,197.12,철근콘크리트구조,2021-09-17,2021-12-30,2022-08-05,5,0,공동주택,다세대주택(10세대)/2종근린생활시설,제2종일반주거지역,,,10,1,
신축,까사리버,서울특별시 광진구 자양동 202-36 외1필지,186.85,101.6,350.86,,54.38,187.78,철근콘크리트구조,2021-09-14,2021-12-31,2022-07-29,5,0,공동주택,다세대주택(12세대)/제2종근린생활시설,제2종일반주거지역,,중점경관관리구역,12,1,
신축,자양리치빌V,서울특별시 광진구 자양동 46-33 외2필지,238,142.28,444.75,,59.78,186.87,철근콘크리트구조,2021-01-15,2021-10-13,2022-07-27,5,0,공동주택,다세대주택(16세대),제2종일반주거지역,,,16,,
신축,,서울특별시 광진구 구의동 59-1 외3필지,1002.51,306.7,2574.19,,30.59,199.81,철근콘크리트구조,2020-09-10,2020-10-05,2022-07-26,11,1,공동주택,아파트,제2종일반주거지역,,,29,4,
대수선,워커힐 호텔,서울특별시 광진구 광장동 22-1 외173필지,261288,32513.04,192123.68,,12.44,43.01,철근콘크리트구조,2022-04-27,2022-06-08,2022-07-25,5,4,숙박시설,관광호텔,도시지역,역사문화미관지구,중점경관관리구역,,,
개축,중곡동 649-7 제1종근린생활시설 (양영걸),서울특별시 광진구 중곡동 649-7,439.1,243.53,1991.87,,55.46,438.65,철근콘크리트구조,2022-03-30,2022-04-06,2022-07-25,10,1,제1종근린생활시설,의원,일반상업지역,,지구단위계획구역,,,
신축,테미 엘포레22,서울특별시 광진구 중곡동 51-26 외1필지,277.2,162.6,554.35,,58.66,199.98,철근콘크리트구조,2021-11-25,2022-01-19,2022-07-25,6,0,공동주택,도시형생활주택 단지형다세대,제2종일반주거지역,,,10,,
신축,광진구 소규모 다기능 돌봄공간,서울특별시 광진구 중곡동 67-4,236,141.15,505.92,,59.81,148.69,철근콘크리트구조,2021-07-02,2021-11-18,2022-07-22,3,1,노유자시설,재가노인복지시설,도시지역,대공방어협조구역,,,,
신축,,서울특별시 광진구 자양동 680-2 외1필지,643.91,326.6,2891.49,,50.72,387.14,철근콘크리트구조,2020-12-29,2021-04-06,2022-07-22,11,1,업무시설,주거용오피스텔 및 도시형생활주택단지형다세대주택 및 근린생활시설,준주거지역,,,21,49,
신축,아스하임,서울특별시 광진구 군자동 361-21,159,88.19,654.05,,55.46,359.62,철근콘크리트구조,2021-04-09,2021-07-23,2022-07-21,9,1,공동주택,"단지형다세대주택 및 근린생활시설,오피스텔",준주거지역,,지구단위계획구역,9,8,
신축,리치팰리스,서울특별시 광진구 자양동 846-23,756,363.66,1315.56,,48.1,167.68,철근콘크리트구조,2021-09-06,2021-09-30,2022-07-20,6,1,공동주택,도시형생활주택(단지형다세대주택),도시지역,대공방어협조구역,학교환경위생정화구역,29,,
신축,,서울특별시 광진구 화양동 16-70,167.6,100.37,334.55,,59.89,199.61,철근콘크리트구조,2021-12-02,2022-03-11,2022-07-19,5,0,단독주택,다가구주택(4가구)및근린생활시설,제2종일반주거지역,,,,,4
신축,.,서울특별시 광진구 중곡동 97-42 외1필지,326.3,195.51,652.26,,59.92,199.9,철근콘크리트구조,2021-11-18,2022-01-21,2022-07-15,5,0,공동주택,도시형생활주택 단지형다세대,제2종일반주거지역,,,10,,
신축,대경빌딩,서울특별시 광진구 자양동 658-136 외3필지,315,157.35,859.45,,49.95,230.87,철근콘크리트구조,2021-10-08,2021-11-18,2022-07-15,6,1,제2종근린생활시설,사무소/ 다가구주택,제3종일반주거지역,,,,,5
신축,성신빌딩,서울특별시 광진구 구의동 212-17,385.5,190.61,1173.11,,49.44,225.82,철근콘크리트구조,2021-01-12,2021-05-27,2022-07-15,6,1,제2종근린생활시설,"학원,휴게음식점",도시지역,,,,,
신축,대원캐슬2차,서울특별시 광진구 자양동 597-34 외1필지,326.5,195.18,651.36,,59.78,199.5,철근콘크리트구조,2021-07-20,2021-11-18,2022-07-14,6,0,공동주택,"근린생활시설, 도시형생활주택",제2종일반주거지역,대공방어협조구역,중점경관관리구역,10,1,
대수선,화양동 36-39 (최원묵),서울특별시 광진구 화양동 36-39,145.1,84.3,409.96,,58.09,227.07,철근콘크리트구조,2022-07-07,,2022-07-13,4,1,단독주택,다가구주택,도시지역,대공방어협조구역,,,,3
용도변경,광장동 247-17 (권대희),서울특별시 광진구 광장동 247-17,206,121.86,423.42,,59.1553,205.5437,철근콘크리트구조,2022-06-14,,2022-07-13,5,,공동주택,다세대,도시지역,대공방어협조구역,중점경관관리구역,7,,
증축,,서울특별시 광진구 중곡동 131-11 외1필지,453.2,226.29,550.61,550.61,49.93,118.58,일반철골구조,2022-01-20,2022-03-15,2022-07-13,3,1,제2종근린생활시설,제2종근린생활시설(사무소) 및 창고시설,제3종일반주거지역,,,,,
신축,호희빌라,서울특별시 광진구 자양동 57-129,170,84.94,225.81,,49.96,132.83,철근콘크리트구조,2021-07-15,2021-10-18,2022-07-13,4,0,공동주택,다세대주택,제3종일반주거지역,,중점경관관리구역,2,1,
신축,랜드마크 Ⅱ,서울특별시 광진구 자양동 57-97 외2필지,415,215.57,659.99,,51.94,157.37,철근콘크리트구조,2021-05-11,2021-11-26,2022-07-13,6,1,공동주택,도시형생활주택(단지형다세대주택(24세대)),도시지역,,,24,,
신축,대명캐슬B동,서울특별시 광진구 구의동 231-27,133.76,80.01,193.8,,59.82,144.89,철근콘크리트구조,2021-09-07,2021-09-27,2022-07-11,3,0,단독주택,다기구주택,도시지역,대공방어협조구역,상대보호구역,,,6
신축,노블스타,서울특별시 광진구 구의동 257-69,212.6,127.52,424.59,,59.98,199.71,철근콘크리트구조,2021-12-08,2022-02-09,2022-07-07,4,0,제2종근린생활시설,"일반 음식점 , 사무소",제2종일반주거지역,,,,,
대수선,,서울특별시 광진구 자양동 227-263,347.1,172.91,1037.24,,49.82,231.9,철근콘크리트구조,2021-11-16,2022-01-26,2022-07-05,5,1,제2종근린생활시설,,제2종일반주거지역,,,,,
신축,진연빌6차,서울특별시 광진구 자양동 218-3,169.9,84.88,422.78,,49.96,248.84,철근콘크리트구조,2021-07-08,2021-10-15,2022-07-04,7,0,공동주택,"도시형생활주택(단지형다세대),제2종근린생활시설(사무소)",도시지역,대공방어협조구역,학교환경위생정화구역,5,1,
신축,풍성그라시움,서울특별시 광진구 화양동 132-29 외1필지,221,110.37,575.44,,49.94,248.48,철근콘크리트구조,2020-12-17,2021-09-01,2022-07-04,8,1,공동주택,도시형생활주택 단지형다세대주택,제3종일반주거지역,,지구단위계획구역,10,3,
신축,,서울특별시 광진구 중곡동 257-22,147.4,87.35,285.78,,59.26,193.88,철근콘크리트구조,2021-12-31,2022-02-08,2022-07-01,5,0,공동주택,다세대주택,제2종일반주거지역,,,4,1,
대수선,,서울특별시 광진구 구의동 58-15,293.1,169.85,855.81,,57.9495,198.202,철근콘크리트구조,2022-03-03,2022-03-21,2022-06-30,5,1,업무시설,사무소,도시지역,대공방어협조구역,중점경관관리구역,,,
대수선,구의동 58-16 제1종근린생활시설 (주식회사쏠리드),서울특별시 광진구 구의동 58-16,1357.6,578.43,3037.35,,42.6068,158.3854,,2022-03-03,2022-03-21,2022-06-30,5,2,제1종근린생활시설,"근린생활시설, 업무시설",도시지역,대공방어협조구역,중점경관관리구역,,,
대수선,구의동 237-40 제2종근린생활시설 (이명근),서울특별시 광진구 구의동 237-40,147.8,73.71,221.13,,49.87,149.61,벽돌구조,2022-05-16,2022-05-19,2022-06-28,3,,제2종근린생활시설,,도시지역,대공방어협조구역,절대정화구역,,,
신축,Domus Otium,서울특별시 광진구 구의동 61-18,113.4,68,198.81,,59.96,175.32,철근콘크리트구조,2021-11-17,2022-02-21,2022-06-28,4,0,단독주택,다가구 주택 및 근린생활시설,도시지역,대공방어협조구역,학교환경위생정화구역,,,2
신축,자양동 227-165 단독주택 (김홍재),서울특별시 광진구 자양동 227-165,96.57,55.17,193.05,,57.13,199.9,철근콘크리트구조,2021-10-14,2021-11-18,2022-06-28,6,0,단독주택,단독주택,도시지역,대공방어협조구역,학교환경위생정화구역,,,1
신축,여여재,서울특별시 광진구 자양동 227-250,114.7,68.53,198.82,,59.75,173.34,철근콘크리트구조,2021-04-30,2021-09-24,2022-06-27,4,0,단독주택,다가구주택및근생,제2종일반주거지역,,,,2,4
신축,,서울특별시 광진구 구의동 210-67,179.6,107.44,466.36,,59.8218,198.8307,철근콘크리트구조,2017-08-21,2017-09-07,2022-06-24,5,1,단독주택,"다가구주택,제2종근린생활시설(사무소)",제2종일반주거지역,,,,,6
